image Name,object 1,is close to,is far from,is smaller than,is greater than,overlaps,doesnt overlap,is in the right of,is in the left of,is in the bottom of,is in the top of
download (15).jpg,elephant,na,na,na,elephant,na,na,na,na,na,na
download (15).jpg,elephant,na,na,elephant,na,na,na,na,na,na,na
download (15).jpg,elephant,na,na,na,cow,na,na,na,na,na,na
download (15).jpg,cow,na,na,elephant,na,na,na,na,na,na,na
download (15).jpg,elephant,na,na,na,cow,na,na,na,na,na,na
download (15).jpg,cow,na,na,elephant,na,na,na,na,na,na,na
download (15).jpg,elephant,na,na,cow,na,na,na,na,na,na,na
download (15).jpg,cow,na,na,na,elephant,na,na,na,na,na,na
download (15).jpg,elephant,na,na,na,elephant,na,na,na,na,na,na
download (15).jpg,elephant,na,na,elephant,na,na,na,na,na,na,na
download (15).jpg,elephant,na,na,elephant,na,na,na,na,na,na,na
download (15).jpg,elephant,na,na,na,elephant,na,na,na,na,na,na
download (15).jpg,elephant,na,na,na,elephant,na,na,na,na,na,na
download (15).jpg,elephant,na,na,elephant,na,na,na,na,na,na,na
download (15).jpg,cow,na,na,na,elephant,na,na,na,na,na,na
download (15).jpg,elephant,na,na,cow,na,na,na,na,na,na,na
download (15).jpg,cow,na,na,na,cow,na,na,na,na,na,na
download (15).jpg,cow,na,na,cow,na,na,na,na,na,na,na
download (15).jpg,cow,na,na,na,cow,na,na,na,na,na,na
download (15).jpg,cow,na,na,cow,na,na,na,na,na,na,na
download (15).jpg,cow,na,na,na,cow,na,na,na,na,na,na
download (15).jpg,cow,na,na,cow,na,na,na,na,na,na,na
download (15).jpg,cow,na,na,na,elephant,na,na,na,na,na,na
download (15).jpg,elephant,na,na,cow,na,na,na,na,na,na,na
download (15).jpg,cow,na,na,elephant,na,na,na,na,na,na,na
download (15).jpg,elephant,na,na,na,cow,na,na,na,na,na,na
download (15).jpg,cow,na,na,na,elephant,na,na,na,na,na,na
download (15).jpg,elephant,na,na,cow,na,na,na,na,na,na,na
download (15).jpg,elephant,na,na,cow,na,na,na,na,na,na,na
download (15).jpg,cow,na,na,na,elephant,na,na,na,na,na,na
download (15).jpg,elephant,na,na,na,cow,na,na,na,na,na,na
download (15).jpg,cow,na,na,elephant,na,na,na,na,na,na,na
